Time,Interval Start,Interval End,Location,Location Type,Market,SPP
2026-06-28 00:00:00-05:00,2026-06-28 00:00:00-05:00,2026-06-28 00:15:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,24.6
2026-06-28 00:15:00-05:00,2026-06-28 00:15:00-05:00,2026-06-28 00:30:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,24.15
2026-06-28 00:30:00-05:00,2026-06-28 00:30:00-05:00,2026-06-28 00:45:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,23.29
2026-06-28 00:45:00-05:00,2026-06-28 00:45:00-05:00,2026-06-28 01:00:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,23.16
2026-06-28 01:00:00-05:00,2026-06-28 01:00:00-05:00,2026-06-28 01:15:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,24.33
2026-06-28 01:15:00-05:00,2026-06-28 01:15:00-05:00,2026-06-28 01:30:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,24.36
2026-06-28 01:30:00-05:00,2026-06-28 01:30:00-05:00,2026-06-28 01:45:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,24.2
2026-06-28 01:45:00-05:00,2026-06-28 01:45:00-05:00,2026-06-28 02:00:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,23.28
2026-06-28 02:00:00-05:00,2026-06-28 02:00:00-05:00,2026-06-28 02:15:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,21.94
2026-06-28 02:15:00-05:00,2026-06-28 02:15:00-05:00,2026-06-28 02:30:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,22.67
2026-06-28 02:30:00-05:00,2026-06-28 02:30:00-05:00,2026-06-28 02:45:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,23.1
2026-06-28 02:45:00-05:00,2026-06-28 02:45:00-05:00,2026-06-28 03:00:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,22.6
2026-06-28 03:00:00-05:00,2026-06-28 03:00:00-05:00,2026-06-28 03:15:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,22.8
2026-06-28 03:15:00-05:00,2026-06-28 03:15:00-05:00,2026-06-28 03:30:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,22.64
2026-06-28 03:30:00-05:00,2026-06-28 03:30:00-05:00,2026-06-28 03:45:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,22.59
2026-06-28 03:45:00-05:00,2026-06-28 03:45:00-05:00,2026-06-28 04:00:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,22.72
2026-06-28 04:00:00-05:00,2026-06-28 04:00:00-05:00,2026-06-28 04:15:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,22.91
2026-06-28 04:15:00-05:00,2026-06-28 04:15:00-05:00,2026-06-28 04:30:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,22.81
2026-06-28 04:30:00-05:00,2026-06-28 04:30:00-05:00,2026-06-28 04:45:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,22.64
2026-06-28 04:45:00-05:00,2026-06-28 04:45:00-05:00,2026-06-28 05:00:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,22.34
2026-06-28 05:00:00-05:00,2026-06-28 05:00:00-05:00,2026-06-28 05:15:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,22.64
2026-06-28 05:15:00-05:00,2026-06-28 05:15:00-05:00,2026-06-28 05:30:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,22.51
2026-06-28 05:30:00-05:00,2026-06-28 05:30:00-05:00,2026-06-28 05:45:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,21.93
2026-06-28 05:45:00-05:00,2026-06-28 05:45:00-05:00,2026-06-28 06:00:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,21.78
2026-06-28 06:00:00-05:00,2026-06-28 06:00:00-05:00,2026-06-28 06:15:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,21.39
2026-06-28 06:15:00-05:00,2026-06-28 06:15:00-05:00,2026-06-28 06:30:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,21.4
2026-06-28 06:30:00-05:00,2026-06-28 06:30:00-05:00,2026-06-28 06:45:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,21.51
2026-06-28 06:45:00-05:00,2026-06-28 06:45:00-05:00,2026-06-28 07:00:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,20.36
2026-06-28 07:00:00-05:00,2026-06-28 07:00:00-05:00,2026-06-28 07:15:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,19.45
2026-06-28 07:15:00-05:00,2026-06-28 07:15:00-05:00,2026-06-28 07:30:00-05:00,HB_HOUSTON,Trading Hub,REAL_TIME_15_MIN,17.68
