Interval Start,SPP
2026-01-24 00:00:00-06:00,30.02
2026-01-24 00:15:00-06:00,30.46
2026-01-24 00:30:00-06:00,31.76
2026-01-24 00:45:00-06:00,30.83
2026-01-24 01:00:00-06:00,30.39
2026-01-24 01:15:00-06:00,29.83
2026-01-24 01:30:00-06:00,30.7
2026-01-24 01:45:00-06:00,30.92
2026-01-24 02:00:00-06:00,32.79
2026-01-24 02:15:00-06:00,30.59
2026-01-24 02:30:00-06:00,32.32
2026-01-24 02:45:00-06:00,33.24
2026-01-24 03:00:00-06:00,31.25
2026-01-24 03:15:00-06:00,31.72
2026-01-24 03:30:00-06:00,31.37
2026-01-24 03:45:00-06:00,33.68
2026-01-24 04:00:00-06:00,34.48
2026-01-24 04:15:00-06:00,35.67
2026-01-24 04:30:00-06:00,37.18
2026-01-24 04:45:00-06:00,39.87
2026-01-24 05:00:00-06:00,41.23
2026-01-24 05:15:00-06:00,43.68
2026-01-24 05:30:00-06:00,44.07
2026-01-24 05:45:00-06:00,45.39
2026-01-24 06:00:00-06:00,63.23
2026-01-24 06:15:00-06:00,54.71
2026-01-24 06:30:00-06:00,54.91
2026-01-24 06:45:00-06:00,53.61
2026-01-24 07:00:00-06:00,59.17
2026-01-24 07:15:00-06:00,62.11
2026-01-24 07:30:00-06:00,75.71
2026-01-24 07:45:00-06:00,72.69
2026-01-24 08:00:00-06:00,71.01
2026-01-24 08:15:00-06:00,68.55
2026-01-24 08:30:00-06:00,80.5
2026-01-24 08:45:00-06:00,78.89
2026-01-24 09:00:00-06:00,141.05
2026-01-24 09:15:00-06:00,134.31
2026-01-24 09:30:00-06:00,135.95
2026-01-24 09:45:00-06:00,148.79
2026-01-24 10:00:00-06:00,160.75
2026-01-24 10:15:00-06:00,156.69
2026-01-24 10:30:00-06:00,154.29
2026-01-24 10:45:00-06:00,133.88
2026-01-24 11:00:00-06:00,138.77
2026-01-24 11:15:00-06:00,146.54
2026-01-24 11:30:00-06:00,149.79
2026-01-24 11:45:00-06:00,147.17
