Time,Interval Start,Interval End,Load
2026-06-28 00:00:00-05:00,2026-06-28 00:00:00-05:00,2026-06-28 01:00:00-05:00,64761.11
2026-06-28 01:00:00-05:00,2026-06-28 01:00:00-05:00,2026-06-28 02:00:00-05:00,62100.13
2026-06-28 02:00:00-05:00,2026-06-28 02:00:00-05:00,2026-06-28 03:00:00-05:00,59857.87
2026-06-28 03:00:00-05:00,2026-06-28 03:00:00-05:00,2026-06-28 04:00:00-05:00,58408.99
2026-06-28 04:00:00-05:00,2026-06-28 04:00:00-05:00,2026-06-28 05:00:00-05:00,57567.46
2026-06-28 05:00:00-05:00,2026-06-28 05:00:00-05:00,2026-06-28 06:00:00-05:00,57103.96
2026-06-28 06:00:00-05:00,2026-06-28 06:00:00-05:00,2026-06-28 07:00:00-05:00,56467.59
2026-06-28 07:00:00-05:00,2026-06-28 07:00:00-05:00,2026-06-28 08:00:00-05:00,56902.21
2026-06-28 08:00:00-05:00,2026-06-28 08:00:00-05:00,2026-06-28 09:00:00-05:00,59834.7
2026-06-28 09:00:00-05:00,2026-06-28 09:00:00-05:00,2026-06-28 10:00:00-05:00,63652.53
2026-06-28 10:00:00-05:00,2026-06-28 10:00:00-05:00,2026-06-28 11:00:00-05:00,67294.28
2026-06-28 11:00:00-05:00,2026-06-28 11:00:00-05:00,2026-06-28 12:00:00-05:00,71024.16
2026-06-28 12:00:00-05:00,2026-06-28 12:00:00-05:00,2026-06-28 13:00:00-05:00,74497.36
2026-06-28 13:00:00-05:00,2026-06-28 13:00:00-05:00,2026-06-28 14:00:00-05:00,77420.18
2026-06-28 14:00:00-05:00,2026-06-28 14:00:00-05:00,2026-06-28 15:00:00-05:00,79564.84
2026-06-28 15:00:00-05:00,2026-06-28 15:00:00-05:00,2026-06-28 16:00:00-05:00,80758.74
2026-06-28 16:00:00-05:00,2026-06-28 16:00:00-05:00,2026-06-28 17:00:00-05:00,81759.35
2026-06-28 17:00:00-05:00,2026-06-28 17:00:00-05:00,2026-06-28 18:00:00-05:00,81719.45
2026-06-28 18:00:00-05:00,2026-06-28 18:00:00-05:00,2026-06-28 19:00:00-05:00,81271.89
2026-06-28 19:00:00-05:00,2026-06-28 19:00:00-05:00,2026-06-28 20:00:00-05:00,80017.04
2026-06-28 20:00:00-05:00,2026-06-28 20:00:00-05:00,2026-06-28 21:00:00-05:00,77714.75
2026-06-28 21:00:00-05:00,2026-06-28 21:00:00-05:00,2026-06-28 22:00:00-05:00,75989.05
2026-06-28 22:00:00-05:00,2026-06-28 22:00:00-05:00,2026-06-28 23:00:00-05:00,72627.48
2026-06-28 23:00:00-05:00,2026-06-28 23:00:00-05:00,2026-06-29 00:00:00-05:00,68876.26
2026-06-29 00:00:00-05:00,2026-06-29 00:00:00-05:00,2026-06-29 01:00:00-05:00,65537.98
2026-06-29 01:00:00-05:00,2026-06-29 01:00:00-05:00,2026-06-29 02:00:00-05:00,62805.62
2026-06-29 02:00:00-05:00,2026-06-29 02:00:00-05:00,2026-06-29 03:00:00-05:00,60851.05
2026-06-29 03:00:00-05:00,2026-06-29 03:00:00-05:00,2026-06-29 04:00:00-05:00,59747.7
2026-06-29 04:00:00-05:00,2026-06-29 04:00:00-05:00,2026-06-29 05:00:00-05:00,59463.26
2026-06-29 05:00:00-05:00,2026-06-29 05:00:00-05:00,2026-06-29 06:00:00-05:00,60259.99
2026-06-29 06:00:00-05:00,2026-06-29 06:00:00-05:00,2026-06-29 07:00:00-05:00,60811.86
2026-06-29 07:00:00-05:00,2026-06-29 07:00:00-05:00,2026-06-29 08:00:00-05:00,61403.15
2026-06-29 08:00:00-05:00,2026-06-29 08:00:00-05:00,2026-06-29 09:00:00-05:00,63137.78
2026-06-29 09:00:00-05:00,2026-06-29 09:00:00-05:00,2026-06-29 10:00:00-05:00,66599.13
