Interval Start,Interval End,Coast,East,Far West,North,North Central,South,South Central,West,ERCOT
2026-01-24 00:00:00-06:00,2026-01-24 01:00:00-06:00,11487.47489,2074.240709,7411.36818,2265.253951,17986.377179,3529.530364,7135.270654,1647.47747,53536.993397
2026-01-24 01:00:00-06:00,2026-01-24 02:00:00-06:00,11170.70599,2068.709331,7381.651521,2266.771365,17848.73927,3412.619124,7084.771042,1629.466388,52863.43403
2026-01-24 02:00:00-06:00,2026-01-24 03:00:00-06:00,10927.516785,2084.215626,7281.732723,2276.212741,17813.872146,3361.386462,7134.376795,1641.331101,52520.64438
2026-01-24 03:00:00-06:00,2026-01-24 04:00:00-06:00,10777.494697,2120.131394,7087.278089,2261.912846,17894.862131,3390.724444,7393.553291,1649.403216,52575.360107
2026-01-24 04:00:00-06:00,2026-01-24 05:00:00-06:00,10713.134881,2141.8666,6985.855874,2265.797715,18170.055174,3324.966199,7772.466544,1684.180232,53058.323219
2026-01-24 05:00:00-06:00,2026-01-24 06:00:00-06:00,10856.856141,2236.498291,6822.471228,2303.306571,18964.35488,3379.248817,8234.332639,1738.050418,54535.118985
2026-01-24 06:00:00-06:00,2026-01-24 07:00:00-06:00,11147.574094,2312.934067,6605.598834,2339.140294,19933.707778,3454.22952,8786.305377,1769.485017,56348.974981
2026-01-24 07:00:00-06:00,2026-01-24 08:00:00-06:00,11520.92683,2380.646549,6489.728695,2372.799108,20970.085383,3526.564956,9448.049917,1827.829563,58536.631
2026-01-24 08:00:00-06:00,2026-01-24 09:00:00-06:00,11944.15553,2426.808241,6406.593811,2174.181414,21743.757133,3609.284613,10130.208367,1867.828148,60302.817257
2026-01-24 09:00:00-06:00,2026-01-24 10:00:00-06:00,12430.60172,2436.177481,6349.729986,1835.420775,22041.815091,3847.137447,10702.481873,1880.498874,61523.863246
2026-01-24 10:00:00-06:00,2026-01-24 11:00:00-06:00,12976.275882,2479.043568,6319.784491,1844.060435,22463.407647,4038.554832,11089.112697,1902.300472,63112.540024
2026-01-24 11:00:00-06:00,2026-01-24 12:00:00-06:00,13427.06876,2495.923819,6297.895936,1842.363249,22790.468183,4231.358326,11274.741844,1927.66053,64287.480648
2026-01-24 12:00:00-06:00,2026-01-24 13:00:00-06:00,13763.449019,2497.132332,6318.273062,1830.086098,23121.615608,4196.680081,11543.941663,1922.858668,65194.036533
2026-01-24 13:00:00-06:00,2026-01-24 14:00:00-06:00,13977.034721,2502.961717,6269.757593,1815.195782,23171.309642,4218.993874,11711.845211,1909.160106,65576.258646
2026-01-24 14:00:00-06:00,2026-01-24 15:00:00-06:00,14141.292227,2521.387816,6293.539258,1810.344969,23170.396893,4263.968108,11870.088583,1915.649683,65986.667537
2026-01-24 15:00:00-06:00,2026-01-24 16:00:00-06:00,14289.882291,2516.200759,6317.516328,1823.550692,23324.215797,4272.150313,12132.850117,1935.56268,66611.928977
2026-01-24 16:00:00-06:00,2026-01-24 17:00:00-06:00,14487.834653,2577.304943,6302.069956,1848.513466,23625.345232,4272.006893,12448.082615,1945.915877,67507.073635
2026-01-24 17:00:00-06:00,2026-01-24 18:00:00-06:00,14780.082572,2619.837341,6298.945004,1880.226445,24183.805864,4471.43531,12806.512849,1999.605052,69040.450437
2026-01-24 18:00:00-06:00,2026-01-24 19:00:00-06:00,15155.189827,2688.637065,6324.479226,1921.998731,24607.630217,4595.445904,13155.093099,2074.037598,70522.511668
2026-01-24 19:00:00-06:00,2026-01-24 20:00:00-06:00,15137.440963,2701.871912,6275.578252,1906.701425,24570.261331,4666.223084,13181.589237,2059.425733,70499.091938
2026-01-24 20:00:00-06:00,2026-01-24 21:00:00-06:00,15089.618168,2711.889293,6143.564328,1868.694497,24636.633723,4666.090725,13183.130849,2056.446715,70356.068299
2026-01-24 21:00:00-06:00,2026-01-24 22:00:00-06:00,14932.906079,2683.164595,6109.979543,1854.269558,24353.478907,4819.724345,13102.078725,2031.014782,69886.616534
2026-01-24 22:00:00-06:00,2026-01-24 23:00:00-06:00,14660.822976,2643.756448,6108.086185,1845.696701,23943.816184,4801.295308,12716.267855,1971.596445,68691.338101
2026-01-24 23:00:00-06:00,2026-01-25 00:00:00-06:00,14418.676699,2634.282373,6090.826483,2087.783086,23552.841087,4668.982648,12260.135324,1940.351851,67653.879552
2026-01-25 00:00:00-06:00,2026-01-25 01:00:00-06:00,14331.613788,2624.159778,6012.725201,2041.325356,23417.804063,4563.445153,12050.674852,1936.32555,66978.073741
2026-01-25 01:00:00-06:00,2026-01-25 02:00:00-06:00,14193.410783,2603.956393,5957.246506,1801.973239,23359.796628,4602.727211,11822.617066,1931.193535,66272.92136
2026-01-25 02:00:00-06:00,2026-01-25 03:00:00-06:00,14207.101102,2609.212616,5898.425732,1815.388709,23411.792621,4609.405291,11732.385932,1933.119963,66216.831966
2026-01-25 03:00:00-06:00,2026-01-25 04:00:00-06:00,14284.487379,2622.931187,5874.246843,1806.089115,23666.040273,4631.95087,11938.026785,1946.555937,66770.328389
2026-01-25 04:00:00-06:00,2026-01-25 05:00:00-06:00,14419.530216,2661.848846,5832.549555,1827.139627,24105.479279,4617.157887,12251.380347,1951.998933,67667.08469
2026-01-25 05:00:00-06:00,2026-01-25 06:00:00-06:00,14615.171647,2717.117665,5768.826881,1849.177587,24511.378832,4727.928898,12523.2616,1991.699572,68704.562682
2026-01-25 06:00:00-06:00,2026-01-25 07:00:00-06:00,14794.286591,2776.076227,5778.37329,1869.992894,24877.052846,5011.756555,13008.282082,2020.57477,70136.395256
2026-01-25 07:00:00-06:00,2026-01-25 08:00:00-06:00,15016.631106,2862.603114,5747.020767,1879.945924,25156.261352,5232.861645,13464.62173,2019.580016,71379.525654
2026-01-25 08:00:00-06:00,2026-01-25 09:00:00-06:00,15277.541975,2921.331249,5674.936844,1881.44957,25225.786603,5399.50955,13627.732607,2008.987603,72017.276001
2026-01-25 09:00:00-06:00,2026-01-25 10:00:00-06:00,15826.759258,2947.843214,5678.826319,1899.052171,25318.162381,5549.170205,13717.446581,2019.094051,72956.354181
2026-01-25 10:00:00-06:00,2026-01-25 11:00:00-06:00,16186.902652,2963.288202,5646.947148,2316.977975,25223.167888,5591.309679,13630.938924,1974.213528,73533.745998
